#Datasets,b1matches,b2matches,s1matches,s2matches
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;unclassified Alphaproteobacteria;",1481.0,1676.0,1199.0,1085.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;unclassified Alphaproteobacteria;unclassified Alphaproteobacteria (miscellaneous);",5628.0,6347.0,5016.0,4658.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;unclassified Alphaproteobacteria;unclassified Alphaproteobacteria (miscellaneous);Alphaproteobacteria bacterium 32-64-14;",1695.0,1922.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;",50138.0,45327.0,115656.0,109674.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;",29759.0,26645.0,41135.0,37608.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;",6076.0,5230.0,3065.0,2881.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;",0.0,1812.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;",8129.0,9021.0,9226.0,9092.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;",3535.0,4091.0,3125.0,3090.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex;",2378.0,2821.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;",1551.0,1799.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;",1725.0,2027.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;",16961.0,14710.0,16525.0,15749.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;",3759.0,3232.0,2135.0,2188.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;",2488.0,2734.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;",4436.0,1667.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;",4145.0,2959.0,2373.0,2231.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;",5166.0,5386.0,3801.0,3597.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified Burkholderiales;",2287.0,1784.0,5819.0,5090.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified Burkholderiales;Burkholderiales Genera incertae sedis;",9624.0,7356.0,12284.0,10630.0
