,Richness,Shannon,Simpson,Pielou,Chao1,ACE,goods_coverage
AeMBR-50-2_250.fasta_good,5918,8.26437019470279,0.961250859324478,0.659519600684976,10064.5332068311,11109.1304436778,0.966177883515579
AeMBR-50-3_250.fasta_good,5175,7.4091635857922,0.915469255262191,0.600547743330723,8740.60129310345,9732.98435251339,0.968329189335565
AeMBR-50-4_250.fasta_good,5009,7.0803038293815,0.91202065720821,0.576088448331366,8940.77419354839,9657.62673277232,0.968332325463723
AeMBR-50-5_250.fasta_good,3901,6.37332867306992,0.921546612666938,0.534243693253958,8122.60644007156,8541.71996832154,0.967833140894692
AeMBR75-1_250.fasta_good,4446,7.17373355334082,0.912349501885302,0.59197561961657,8442.31875881523,9223.11451036763,0.967769881556684
AeMBR75-2_250.fasta_good,4822,7.85150932297675,0.954991135733376,0.641703507612723,9976.5888252149,10757.9677369314,0.960837833892862
AeMBR75-3_250.fasta_good,4237,6.86211190987179,0.922211647119279,0.569525288598683,8418.22471910112,8840.17604469071,0.967622532334922
AeMBR75-4_250.fasta_good,3128,5.55409296928319,0.866653464394129,0.478346491049714,5823.47347740668,6277.83097152266,0.972806196970443
AeMBR75-5_250.fasta_good,4848,7.60503902863704,0.926024678621717,0.621165642087834,9611.81615598886,10221.3210990956,0.961491469536161
AnMBR-25-1_250.fasta_good,6187,8.59729571946138,0.976415760549989,0.682594610536465,10648.4097421203,11435.0890789496,0.96836549904279
AnMBR-25-2_250.fasta_good,6349,9.26336440912915,0.994598238253273,0.733307029619206,10120.0391986063,10961.5489700765,0.969685108311616
AnMBR-25-3_250.fasta_good,7778,9.65552825363345,0.995580101419821,0.747032197965736,13050.9448875997,14002.4154503385,0.962088982545426
AnMBR-25-4_250.fasta_good,7244,9.33496250889188,0.993791470871173,0.728010211989615,11710.1564371257,12714.1050615095,0.968119659696975
AnMBR-25-5_250.fasta_good,7635,9.5179698747305,0.994583115461322,0.737917935076334,12388.4622573688,13124.1249815423,0.961595320056599
AnMBR-50-1_250.fasta_good,7138,9.13417892131199,0.984891436320401,0.713535026475388,12072.0271528317,13172.2846165558,0.959435947006312
AnMBR-50-2_250.fasta_good,5135,7.87305594975033,0.949049414912379,0.638727978220985,8657.15265486726,9555.12114557944,0.970948434622468
AnMBR-50-3_250.fasta_good,8783,8.62251029888312,0.958174884666549,0.658181867642644,12669.4053475936,13755.2577436673,0.971891102903775
AnMBR-50-4_250.fasta_good,6617,8.28659410057434,0.950069710844943,0.652900976625807,10843.4140179299,11818.7760451877,0.966196857913461
AnMBR-50-5_250.fasta_good,6096,8.46693905555942,0.972560085854813,0.673387675771694,10845.1433926898,12016.1789899985,0.957894180034118
AnMBR-75-1_250.fasta_good,5299,7.68901433226485,0.932872370351374,0.621510050530297,9428.1123853211,10174.4001650907,0.969303261814356
AnMBR-75-2_250.fasta_good,4860,7.44306733753129,0.938768123071542,0.607759042307722,8610.84507042254,9056.31342581103,0.974609334032512
AnMBR-75-3_250.fasta_good,5478,7.77451339279527,0.93454978468014,0.625995812212684,9405.17987152034,10237.6713229563,0.970477975632615
AnMBR-75-4_250.fasta_good,6924,9.13739708028759,0.993574901318503,0.71624345368283,11100.7316513761,12120.890259218,0.967656726931205
AnMBR-75-5_250.fasta_good,6194,9.08503247984334,0.992980071550366,0.721225753844904,10363.0054545455,11281.6526143185,0.968177759100699
